Slovensko ime,Znanstveno ime,Užitnost,Čas rasti,Temp. prag (zrak),Mikorizni partner,Tip rastišča (Prehranjevanje),Tip tal (pH vrednost),Nevarnost zamenjave (Dvojnice),Vonj in okus,Sprememba barve mesa ob poškodbi,Shranjevanje in priprava,Višinski pas in značilna območja,Pogostost v Zgornji savinjski,Geološki mikro-teren (Zg. Savinjska),"Minimalna kumulativna vlaga (7 dni, mm)",Optimalni temperaturni pas (°C),Vpliv vetra/izsušitve,Gobarski indeks (Izračun),Indeks,Vir podatkov
Rumena mušnica,Amanita gemmata,Strupena,Jun – Okt,14 – 22 °C,"Bor, hrast, bukev","Mikoriza; v tleh v svetlih iglastih in listnatih gozdovih, na peščenih tleh","Kisla, peščena tla","Knežja mušnica (Amanita caesarea) – užitna; gemmata ima belo lamele in bel bet z ovojem, caesarea rumene lističe.",,,,Nižine in sredogorje,"Manj pogosta, a redno prisotna na kislih tleh.",Kisla peščena tla,20-30,14-22,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Koreninasta panjevka,Hymenopellis radicata,Pogojno užitna,Jun – Okt,12 – 20 °C,,"Razkraja les; raste iz zakopanih korenin bukve, z dolgo koreniko",Nevtralna tla,,,,,Nižine in sredogorje,Pogosta v bukovih gozdovih doline.,Vlažni bukovi gozdovi,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Prozorni ježek,Pseudohydnum gelatinosum,Užitna,Sep – Dec,2 – 12 °C,,Razkraja les; želatinast trosnjak na trhlem lesu iglavcev,Kisla tla,,,,,Sredogorje in gorske lege,Pogost na trhlih smrekovih deblih.,Vlažni iglasti gozdovi,25-35,2-12,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Srnji ščitovec,Pluteus cervinus,Pogojno užitna,Maj – Nov,10 – 20 °C,,"Razkraja les; raste na trhlem lesu, žagovini in štorih listavcev",Nevtralna tla,"Rdečelistke (Entoloma) – pozor, nekatere so strupene; ščitovec ima proste, rožnate lističe in raste na lesu.",,,,Nižine in sredogorje,Pogost na trhlem lesu.,Vlažni gozdovi,20-30,10-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Rumena lisička,Craterellus lutescens,Užitna,Sep – Nov,6 – 14 °C,"Smreka, bor","Mikoriza; v tleh v vlažnih iglastih gozdovih, v mahu in na barjanskih tleh","Kisla, vlažna tla","Lijasta lisička (Craterellus tubaeformis) – prav tako užitna; lutescens ima gladko, oranžno spodnjo stran brez izrazitih gub.",,,,Sredogorje in gorske lege,Pogosta v vlažnih smrekovih gozdovih višjih leg.,"Kisla, stalno vlažna tla",25-35,6-14,,,da,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Slonokoščena polževka,Hygrophorus eburneus,Užitna,Sep – Nov,6 – 14 °C,Bukev,Mikoriza; v tleh v bukovih gozdovih,Bazična apnenčasta tla,"Bele mušnice (Amanita virosa) – smrtno strupene; polževka nima ovoja ob dnu beta in ima debele, voščene lističe.",,,,Sredogorje,Pogosta v bukovju na apnencu.,Karbonatni masivi Golte in Menine,25-35,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Sluzasta mlečnica,Lactarius blennius,Neužitna,Avg – Nov,8 – 16 °C,Izključno bukev,Mikoriza; v tleh pod bukvami,Nevtralna do bazična tla,"Druge sivozelene mlečnice – blennius ima izrazito sluzast, kolobarjast klobuk in pekoč mleček.",,,,Sredogorje,Zelo pogosta v bukovih gozdovih doline.,Apnenčasta bukovja,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Bledorumena golobica,Russula ochroleuca,Pogojno užitna,Avg – Nov,8 – 16 °C,"Smreka, bukev",Mikoriza; v tleh v iglastih in mešanih gozdovih,Kisla tla,Bljuvna golobica (Russula emetica) – rdeča in pekoča; ochroleuca je okerrumena in blago pekoča.,,,,Vse višine,Zelo pogosta povsod.,Kisla silikatna tla,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Grbasta ploskocevka,Trametes gibbosa,Neužitna,Celotno leto,2 – 20 °C,,Razkraja les; trosnjak na štorih in deblih bukve,Nevtralna tla,Pisana ploskocevka (Trametes versicolor) – ta je tanjša in pisano kolobarjasta.,,,,Nižine in sredogorje,Pogosta na bukovih štorih.,Vlažni bukovi gozdovi,20-30,2-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Rumena griva,Ramaria flava,Pogojno užitna,Avg – Okt,10 – 18 °C,"Bukev, smreka",Mikoriza; v tleh v bukovih in mešanih gozdovih,Nevtralna do bazična tla,"Lepa griva (Ramaria formosa) – odvajalno strupena, rožnata z rumenimi konicami. Ločevanje griv je zahtevno.",,,,Sredogorje,Pogosta v bukovju.,Apnenčasta bukovja Golte in Menine,25-35,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Navadna lupljivka,Suillus luteus,Užitna,Sep – Nov,8 – 16 °C,Izključno bor (dvoigličasti),"Mikoriza; v tleh pod bori, pogosto v skupinah","Kisla, peščena tla",Druge lupljivke – vse užitne; luteus ima izrazit membranast obroček na betu.,,,,Nižine in sredogorje,Pogosta v borovih nasadih in na kislih tleh.,Kisla peščena tla borovih sestojev,20-30,8-16,,,da,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Luskasti srnjak,Sarcodon imbricatus,Pogojno užitna,Avg – Okt,8 – 16 °C,Smreka,Mikoriza; v tleh v gorskih smrekovih gozdovih,Kisla tla,Sarcodon scabrosus – grenak in neužiten; imbricatus ima grobe temne luske in blag okus.,,,,Gorske lege,Pogost v smrekovih gozdovih Smrekovca in Golte.,Kisla silikatna tla gorskih smrekovij,25-35,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Navadni smrdljivec,Phallus impudicus,Neužitna,Jun – Okt,14 – 22 °C,,Razkrajalka organskih ostankov; raste v humusu listnatih gozdov in vrtov,"Nevtralna, humusna tla",Mlado 'jajce' se lahko zamenja s prašnico ali gomoljiko – prerez pokaže želatinasto plast in zametek beta.,,,,Nižine in sredogorje,"Pogost, po vonju prepoznaven že od daleč.",Humusna tla listnatih gozdov,20-30,14-22,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Lepa griva,Ramaria formosa,Strupena,Avg – Okt,10 – 18 °C,Bukev,Mikoriza; v tleh v bukovih gozdovih,Nevtralna do bazična tla,Rumena griva (Ramaria flava) in rdeča griva (Ramaria botrytis) – formosa je rožnata z rumenimi konicami in povzroča drisko.,,,,Sredogorje,Pogosta v bukovju.,Apnenčasta bukovja,25-35,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Rdečkasta labirintnica,Daedaleopsis confragosa,Neužitna,Celotno leto,2 – 20 °C,,"Razkraja les; trosnjak na odmrlih vejah vrbe, breze in leske",Vlažna tla,,,,,Nižine in doline ob rekah,Pogosta ob Savinji in Dreti.,Rečni logi in obrežja,20-30,2-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Rdečkasti ježek,Hydnum rufescens,Užitna,Avg – Nov,8 – 16 °C,"Bukev, smreka",Mikoriza; v tleh v listnatih in iglastih gozdovih,Kisla do nevtralna tla,"Rumeni ježek (Hydnum repandum) – prav tako užiten, večji in bledejši.",,,,Vse višine,"Pogost povsod, kjer raste rumeni ježek.",Kisla in nevtralna gozdna tla,20-30,8-16,,,da,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Sivolistna žveplenjača,Hypholoma capnoides,Užitna,Sep – Nov,6 – 14 °C,,Razkraja les; raste v šopih na štorih iglavcev,Kisla tla,"Navadna žveplenjača (Hypholoma fasciculare) – strupena in grenka, z zelenkastožveplenimi lističi; capnoides ima sive lističe in blag okus. Razlika je za nabiralca ključna.",,,,Sredogorje in gorske lege,Pogosta na smrekovih štorih.,Kisla silikatna tla,20-30,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Rumena rogljača,Calocera viscosa,Neužitna,Avg – Dec,4 – 16 °C,,Razkraja les; želatinast rumen trosnjak na trhlem lesu iglavcev,Kisla tla,"Rumene grive (Ramaria) – rogljača je gumijasta, lepljiva in raste neposredno na lesu.",,,,Sredogorje in gorske lege,Pogosta na trhlem smrekovem lesu.,Kisla silikatna tla,20-30,4-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Olivna golobica,Russula olivacea,Užitna,Jul – Okt,12 – 20 °C,"Bukev, smreka",Mikoriza; v tleh v bukovih in mešanih gozdovih,Nevtralna do bazična tla,Druge velike golobice – olivacea ima olivno rdečkast klobuk s koncentrično progavostjo; surova povzroča slabost.,,,,Sredogorje,Pogosta v bukovju.,Apnenčasta bukovja,25-35,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Kosmata mlečnica,Lactarius torminosus,Strupena,Avg – Okt,10 – 18 °C,Izključno breza,Mikoriza; v tleh pod brezami,Kisla tla,"Užitna sirovka (Lactarius deliciosus) – torminosus ima kosmat rob klobuka in bel, pekoč mleček.",,,,Nižine in sredogorje,"Pogosta povsod, kjer so breze.",Kisla tla z brezami,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Vretenasta panjevka,Gymnopus fusipes,Neužitna,Jun – Okt,12 – 20 °C,,"Razkraja les; raste v šopih ob dnu hrastov, iz korenin",Nevtralna tla,,,,,Nižine in gričevje,Pogosta ob hrastih.,Nevtralna tla hrastovih gozdov,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Pegasta panjevka,Rhodocollybia maculata,Neužitna,Jul – Nov,8 – 18 °C,,Razkrajalka stelje; raste v iglicah in na kislih gozdnih tleh,Kisla tla,,,,,Sredogorje in gorske lege,Pogosta v smrekovih gozdovih.,Kisla silikatna tla,20-30,8-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Hrastova panjevka,Gymnopus dryophilus,Pogojno užitna,Maj – Nov,10 – 20 °C,,Razkrajalka stelje; raste v listju listnatih gozdov,Nevtralna tla,"Drobne strupene čeladice in vlaknarice – dryophilus je vitka, s tanko rjavkasto klobukom in praktično brez okusa.",,,,Nižine in sredogorje,Zelo pogosta v listnatih gozdovih.,Nevtralna gozdna tla,20-30,10-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Cela golobica,Russula integra,Užitna,Jul – Okt,10 – 18 °C,Smreka,Mikoriza; v tleh v gorskih smrekovih gozdovih,Kisla tla,Druge velike rjavkaste golobice – integra ima okerrumen trosni prah in blag okus.,,,,Gorske lege,Pogosta v smrekovju višjih leg.,Kisla silikatna tla Smrekovca,25-35,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Maslena panjevka,Rhodocollybia butyracea,Neužitna,Sep – Dec,4 – 14 °C,,"Razkrajalka stelje; raste v iglicah in listju, pozno v sezoni",Kisla tla,,,,,Vse višine,Zelo pogosta pozno jeseni.,Kisla gozdna tla,20-30,4-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Brezova kresilača,Fomitopsis betulina,Neužitna,Celotno leto,2 – 20 °C,,Razkraja les; trosnjak izključno na brezah,Kisla tla,,,,,Nižine in sredogorje,"Pogosta povsod, kjer so breze.",Kisla tla z brezami,20-30,2-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Bakreni slinar,Chroogomphus rutilus,Užitna,Sep – Nov,8 – 16 °C,Bor,"Mikoriza; v tleh pod bori, pogosto skupaj z lupljivkami","Kisla, peščena tla",Veliki slinar (Gomphidius glutinosus) – prav tako užiten.,,,,Nižine in sredogorje,"Manj pogost, vezan na borove sestoje.",Kisla peščena tla borovij,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Golobja kolobarnica,Tricholoma columbetta,Užitna,Sep – Nov,8 – 16 °C,"Bukev, hrast",Mikoriza; v tleh v listnatih gozdovih,Kisla do nevtralna tla,Bele mušnice (Amanita virosa) – smrtno strupene; kolobarnica nima obročka ne ovoja ob dnu beta. Razlikovanje zahteva izkušnje.,,,,Sredogorje,"Manj pogosta, a redno prisotna v bukovju.",Nevtralna tla listnatih gozdov,25-35,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Dišeči tramovec,Gloeophyllum odoratum,Neužitna,Celotno leto,2 – 20 °C,,"Razkraja les; trosnjak na smrekovih štorih, diši po janežu",Kisla tla,,,,,Sredogorje in gorske lege,Pogost na smrekovih štorih.,Kisla silikatna tla,20-30,2-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Vijoličasta čeladica,Mycena pura,Strupena,Jun – Nov,8 – 18 °C,,Razkrajalka stelje; raste v listju in iglicah,Nevtralna tla,Vijoličasta kolesnica (Lepista nuda) – užitna in mnogo bolj mesnata; čeladica je drobna in diši po redkvi.,,,,Vse višine,Zelo pogosta povsod.,Vsa gozdna tla,20-30,8-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Ovčji ovčar,Albatrellus ovinus,Užitna,Avg – Okt,8 – 16 °C,Smreka,"Mikoriza; v tleh v gorskih smrekovih gozdovih, pogosto v skupinah",Kisla do nevtralna tla,Kozja noga (Scutiger pes-caprae) – prav tako užitna. Grenki ovčarji rodu Albatrellopsis.,,,,Gorske lege,Pogost v smrekovju Smrekovca in Golte.,Kisla silikatna tla gorskih smrekovij,25-35,8-16,,,da,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Butyriboletus appendiculatus,Butyriboletus appendiculatus,Užitna,Jul – Sep,16 – 24 °C,"Hrast, bukev",Mikoriza; v tleh v toplih listnatih gozdovih,Bazična apnenčasta tla,"Vražji goban (Rubroboletus satanas) – strupen, z rdečimi cevkami; appendiculatus ima rumene cevke in blago modri.",,,,Nižine in gričevje,"Manj pogost, vezan na topla apnenčasta rastišča.",Karbonatna tla toplih leg,20-30,16-24,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Temna mraznica,Armillaria ostoyae,Pogojno užitna,Sep – Nov,6 – 14 °C,,Zajeda živa in razkraja odmrla debla; raste v šopih ob štorih iglavcev,Kisla tla,"Strupene koprenke in žveplenjače – mraznica ima bel trosni prah in obroček. Surova je strupena, obvezno kuhati.",,,,Vse višine,Zelo pogosta na iglavcih po vsej dolini.,Kisla silikatna tla,20-30,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Gozdna polževka,Hygrophorus nemoreus,Užitna,Sep – Nov,8 – 16 °C,"Hrast, bukev",Mikoriza; v tleh v svetlih listnatih gozdovih,Bazična apnenčasta tla,Druge polževke – vse neškodljive; nemoreus diši po moki.,,,,Nižine in sredogorje,"Manj pogosta, vezana na apnenčasta listnata rastišča.",Karbonatni masivi,25-35,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Hruškasta prašnica,Apioperdon pyriforme,Užitna,Avg – Nov,8 – 18 °C,,Razkraja les; raste v gostih skupinah na trhlih štorih in zakopanem lesu,Nevtralna tla,"Mlade bele mušnice – prerez prašnice mora biti povsem bel in enoten, brez zametka klobuka.",,,,Vse višine,Zelo pogosta na štorih.,Vlažni gozdovi,20-30,8-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Jamičasta mlečnica,Lactarius scrobiculatus,Strupena,Avg – Okt,8 – 16 °C,Smreka,Mikoriza; v tleh v gorskih smrekovih gozdovih,Kisla tla,"Užitne sirovke (Lactarius deliciosus) – te imajo oranžen mleček; scrobiculatus ima bel mleček, ki na zraku porumeni, in jamičast bet.",,,,Gorske lege,Pogosta v gorskem smrekovju.,Kisla silikatna tla,25-35,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Bela golobica,Russula delica,Pogojno užitna,Jul – Okt,12 – 20 °C,"Bukev, hrast","Mikoriza; v tleh, pogosto napol zakopana v steljo",Nevtralna do bazična tla,"Kravja mlečnica (Lactifluus piperatus) – ta pušča bel mleček, golobica ne.",,,,Sredogorje,Pogosta v bukovju.,Apnenčasta bukovja,25-35,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Collybiopsis confluens,Collybiopsis confluens,Neužitna,Jul – Okt,12 – 20 °C,,Razkrajalka stelje; raste v gostih šopih v listju listnatih gozdov,Nevtralna tla,,,,,Nižine in sredogorje,Pogosta v bukovju.,Vlažna gozdna tla,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Kozja noga,Scutiger pes-caprae,Užitna,Avg – Okt,10 – 18 °C,"Smreka, bukev",Mikoriza; v tleh v gorskih gozdovih,Kisla do nevtralna tla,Ovčji ovčar (Albatrellus ovinus) – prav tako užiten in cenjen.,,,,Gorske lege,"Manj pogosta, cenjena vrsta višjih leg.",Kisla in nevtralna tla gorskih gozdov,25-35,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Gorčična grenivka,Hebeloma sinapizans,Strupena,Sep – Nov,8 – 16 °C,"Bukev, hrast",Mikoriza; v tleh v listnatih gozdovih,Bazična apnenčasta tla,Miška (Tricholoma scalpturatum) in druge svetle kolobarnice – grenivka ima vonj po redkvi in rjav trosni prah.,,,,Sredogorje,Pogosta v bukovju na apnencu.,Karbonatni masivi,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Sluzasta panjevka,Mucidula mucida,Pogojno užitna,Sep – Nov,6 – 14 °C,,"Razkraja les; raste visoko na bukovih deblih, izrazito sluzasta",Nevtralna tla,,,,,Sredogorje,Pogosta v bukovih gozdovih doline.,Vlažna bukovja,25-35,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Sivkasta rdečelistka,Entoloma rhodopolium,Strupena,Avg – Okt,10 – 18 °C,"Bukev, hrast",Mikoriza; v tleh v listnatih gozdovih,Nevtralna tla,Ščitasta rdečelistka (Entoloma clypeatum) in mokovka (Clitopilus prunulus) – rhodopolium povzroča hude prebavne motnje. Rožnati trosni prah je znak rodu.,,,,Nižine in sredogorje,Pogosta v listnatih gozdovih.,Nevtralna gozdna tla,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Temnordeča golobica,Russula atropurpurea,Pogojno užitna,Avg – Okt,10 – 18 °C,"Hrast, bukev",Mikoriza; v tleh v listnatih gozdovih,Kisla do nevtralna tla,"Bljuvna golobica (Russula emetica) – pekoča in strupena; atropurpurea je blago pekoča, s temno vijoličastordečim klobukom.",,,,Nižine in sredogorje,Pogosta v hrastovih in bukovih gozdovih.,Kisla in nevtralna tla,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Mandljeva golobica,Russula grata,Neužitna,Jul – Okt,12 – 20 °C,"Bukev, hrast",Mikoriza; v tleh v listnatih gozdovih,Nevtralna do bazična tla,Smrdljiva golobica (Russula foetens) – grata diši po grenkih mandljih.,,,,Sredogorje,Pogosta v bukovju.,Apnenčasta bukovja,25-35,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Kosmata plesnivka,Stereum hirsutum,Neužitna,Celotno leto,2 – 20 °C,,Razkraja les; tanek trosnjak na odmrlih vejah in štorih listavcev,Nevtralna tla,,,,,Vse višine,Zelo pogosta povsod na odmrlem lesu.,Vsi gozdovi,20-30,2-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Izvihana kolesnica,Paralepista flaccida,Pogojno užitna,Sep – Nov,6 – 14 °C,,Razkrajalka stelje; raste v vrstah in krogih v iglicah in listju,Nevtralna tla,Strupene bele livke (Clitocybe) – flaccida je rjastorjava z globoko lijasto klobukom.,,,,Vse višine,Pogosta pozno jeseni.,Gozdna tla,20-30,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Zlatorumena golobica,Russula risigallina,Užitna,Jul – Okt,12 – 20 °C,"Bukev, hrast",Mikoriza; v tleh v listnatih gozdovih,Nevtralna tla,"Druge rumene golobice – risigallina je drobna, z oker trosnim prahom in sadnim vonjem.",,,,Nižine in sredogorje,Pogosta v listnatih gozdovih.,Nevtralna gozdna tla,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Lyophyllum decastes,Lyophyllum decastes,Užitna,Avg – Nov,8 – 18 °C,,"Razkrajalka organskih ostankov; raste v gostih šopih ob poteh, na nasutjih in gozdnih robovih",Nevtralna tla,"Strupene rdečelistke in koprenke, ki prav tako rastejo v šopih – decastes ima bel trosni prah in sivorjav, gladek klobuk. Ločevanje zahteva izkušnje.",,,,Nižine in sredogorje,Pogost ob poteh in nasutjih.,Nasutja in gozdni robovi,20-30,8-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Collybiopsis peronata,Collybiopsis peronata,Neužitna,Jul – Nov,10 – 18 °C,,Razkrajalka stelje; raste v listju bukovih in hrastovih gozdov,Nevtralna tla,,,,,Nižine in sredogorje,Pogosta v listnatih gozdovih.,Gozdna tla,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
